statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
Code Of Criminal Procedure,"['357 A', '437-A']",ASSV010008752017,Protection of Children from sexual offence Act,['12']
Indian Penal Code,['451'],ASSV010008752017,,
POCSO Act,['10'],ASSV010008752017,,
