statute_opennyai_PREAMBLE,provision_opennyai_PREAMBLE,statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
Indian Penal Code,"['120- B/212', '448/302/201', 'B/212', '202']",Code Of Criminal Procedure,"['357-A', '365', '366', '428']",ASNG010008652018,Protection of Children from Sexual Offence Act 2012,['6']
POCSO Act,['6'],Indian Penal Code,"['120-B/212', '448/201/302', 'B/212', '201', '202', '302', '448', '448/201']",ASNG010008652018,,
,,"Limitation Act, 1963",['Article 115'],ASNG010008652018,,
,,POCSO Act,['6'],ASNG010008652018,,
