statute_opennyai_PREAMBLE,provision_opennyai_PREAMBLE,statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
POCSO Act,['8'],Code Of Criminal Procedure,['428'],ASSN010011242017,Protection of Children from Sexual Offences,['8']
,,POCSO Act,['12'],ASSN010011242017,,
