statute_opennyai_PREAMBLE,provision_opennyai_PREAMBLE,statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
Code Of Criminal Procedure,['313'],Code Of Criminal Procedure,['357 (A)'],ASSN010003222017,Protection of Children from Sexual Offences,['8']
POCSO Act,['8'],POCSO Act,"['18', '18']",ASSN010003222017,,
