statute_opennyai_PREAMBLE,provision_opennyai_PREAMBLE,statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
POCSO Act,['- 8'],Code Of Criminal Procedure,['437 (A)'],ASBR080002302019,Protection of Children from Sexual Offences Act'2012,['8']
,,POCSO Act,['8'],ASBR080002302019,,
