statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
Code Of Criminal Procedure,['357 A'],ASSN010017512018,Protection of Children from Sexual Offences,['4']
POCSO Act,['4'],ASSN010017512018,,
