statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
Code Of Criminal Procedure,"['363(1)', '428']",ASSV010005512019,Indian Penal Code,['376 (A)(B)']
POCSO Act,['10'],ASSV010005512019,"Protection of Children from Sexual Offences Act,2012",['6']
