statute_opennyai_PREAMBLE,provision_opennyai_PREAMBLE,statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
POCSO Act,['12'],Code Of Criminal Procedure,"['235(2)', '363', '365', '428']",ASBR010001322018,Indian Penal Code,"['341', '354(D)', '506']"
,,POCSO Act,['12'],ASBR010001322018,Protection of Children from Sexual Offence Act 2012,['12']
