statute_opennyai_PREAMBLE,provision_opennyai_PREAMBLE,statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
POCSO Act,['6'],Code Of Criminal Procedure,"['357', '357A', '363(1)', '428']",ASSV010006662017,Protection of Children from sexual offence Act,['4']
,,Probation Of Offenders Act,"['3', '4']",ASSV010006662017,,
