statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
Code Of Criminal Procedure,"['357', '360', '363(1)', '428']",ASSV010013012018,"Protection of Children from Sexual Offences Act,2012",['4']
POCSO Act,['10'],ASSV010013012018,Indian Penal Code,"['376 AB', ' 511']"
