statute_opennyai_decision,provision_opennyai_decision,case_id,statute_metadata,provision_metadata
Code Of Criminal Procedure,"['365', '437(A)']",ASBR010013262018,Protection of Children from Sexual Offence Act 2012,['4']
POCSO Act,['4'],ASBR010013262018,,
