Case Type,Judgments,Orders,Cases
Sessions ( Spl.),0,66,213
Special POCSO,0,0,0
Complaint Case ( C R),0,0,0
Bail 438,0,0,24
PRC,0,0,0
Bail 439,0,0,33
G R Case,0,0,2
Sessions Case,0,0,3
Spl. POCSO Act.,0,0,0
Spl. P.O.C.S.O,0,0,0
Criminal Misc(j),0,0,0
PRC (Police Report Case),0,0,0
Special Case ( P ),0,0,0
Special (POCSO),0,0,0
J J B Case,0,0,0
Special Case,0,0,0
PRC Case,0,0,18
CR Case (Warrant),0,0,0
Sessions Case  T II,0,0,0
Spl (pocso),0,0,0
Misc. Case (Crl),0,0,0
Special Case (POCSO),0,0,0
Juvenile Act Cases,0,0,0
Sp Procso,0,0,0
Complaint Case ( C R,0,0,0
Spl (CCL),0,0,0
POCSO Act,0,0,0
Special,0,0,0
Special ( Pocso Act ),0,0,0
Special (POCSO Act),0,0,0
Sessions (Special),0,0,0
PRC (Police Report Cases),0,0,0
Title Suit F. A.,0,0,0
Pcso Act,0,0,0
Criminal Misc(Bail) 439,0,0,0
Criminal Miscellaneous,0,0,1
Special( P and C),0,0,0
Special Case (Children),0,0,0
Sessions  Spl POCSO,0,0,0
Sessions Case Type 2,0,0,0
Special(POCSO) Case,0,0,0
Juvenile Cases,0,0,0
M R Case,0,0,0
Sessions Special (POCSO),0,3,57
Misc Criminal,0,0,10
Bail Application,0,0,13
Bail 437,0,0,0
Misc. Adoption Case,0,0,0
AB Anticipatory Bail,0,0,0
Police Report case  JJB PRC JJB,0,0,0
Complaint Case  C.R.,0,0,0
G R Case J.J.B,0,0,0
Misc. Case ( Criminal ),0,0,0
Police Report case  PRC,0,0,0
POCSO,0,0,0
SC T2,0,0,0
Special Sessions (POCSO),0,0,0
Complaint Case (C R),0,0,0
Police Report Case (PRC),0,0,0
SpecialPOCSO,0,0,0
Misc1crl.,0,0,0
Special A,0,0,0
Bail Applications,0,0,0
Sessions  Spl,0,0,0
Misc crl.,0,0,0
Sessions Spl.,0,0,0
G R Case ( Warrant ),0,0,0
Special(Children),0,0,0
Criminal Appeal,0,0,0
Cases Under POCSO Act,0,0,0
Special POSCO,0,0,0
Sessions Spl. (C),0,0,0
Misc Case,0,0,0
Special Case POCSO,0,0,0
BAIL  APPLICATION,0,0,0
PRC case,0,0,0
Crl. Misc. Case,0,0,0
SPECIAL JUVENILE,0,0,0
SPECIAL JUVENILE CASE,0,0,0
GR Case,0,0,0
Spl. POCSO,0,0,0
Misc. (Bail),0,0,0
PCSO Act 2012,0,0,0
P R C CASE,0,0,0
Sessions Case Type-I,0,0,0
C R Case,0,0,0
PRC Cases,0,0,0
SPL(Pocso),0,0,0
Misc(B),0,0,0
SPL(N),0,0,0
