cino,court_name,date_first_list,date_last_list,date_next_list,date_of_decision,date_of_filing,dt_regis,desgcode,desgname,disp_name,disp_nature,district_code,district_name,state_code,state_name,fil_no,fil_year,reg_no,reg_year,fir_no,fir_year,goshwara_no,police_station,judgment_date,purpose_name,purpose_next,reg_year_date,updated_disp_name,type_name,updated_type_name
ASSV010011632017,District and Sessions Judge Establishment,2017-10-20,2017-12-08,2017-12-08,2017-12-08,2017-10-06,2017-10-06,1.0,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",ACQUITTED,10,3,Sivasagar,6,Assam,824,2017,49,2017,177,2017,1,NAZIRA,2017-08-12,Evidence,76,2017,Acquitted,Special Case POCSO,Special (POCSO) Case
ASBR010012582019,District and Sessions Judge,2019-07-06,2019-07-22,2019-07-22,2019-07-22,2019-07-06,2019-07-06,1.0,District and Sessions Judge,Acquitted on benefit of dought,76,20,Barpeta,6,Assam,99115,2019,115,2019,98,2016,1,BAGHBOR,2019-07-22,Evidence,76,2019,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASBR010001322018,District and Sessions Judge,2018-02-15,2019-05-22,2019-05-22,2019-05-22,2018-02-03,2018-02-03,15.0,Addl. District and Sessions Judge,Convert,74,20,Barpeta,6,Assam,995,2018,5,2018,,0,1,,2019-05-22,Judgement,25,2018,Converted,Spl. POCSO Act.,Special (POCSO) Case
ASSN070002382019,Addl District and Sessions Judge,2019-07-17,2019-09-05,2019-09-05,2019-09-05,2019-05-30,2019-05-30,2.0,"Addl. Sessions Judge,( FTC)",ACQUITTED,10,6,Sonitpur,6,Assam,158,2019,24,2019,,0,1,,2019-05-09,Evidence,76,2019,Acquitted,Spl. POCSO,Special (POCSO) Case
ASSV010011562017,District and Sessions Judge Establishment,2018-02-12,2018-09-18,2018-09-18,2018-09-18,2017-10-03,2017-10-03,1.0,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",CONVICTED,11,3,Sivasagar,6,Assam,817,2017,45,2017,110,2017,1,SIMALUGURI,2018-09-18,Judgement,25,2017,Convicted,Special Case POCSO,Special (POCSO) Case
ASBR080001002017,Addl. District & Sessions Judge,2017-07-25,2018-10-09,2018-10-09,2018-10-09,2017-03-29,2017-03-29,4.0,Addl. District & Sessions Judge,CONVICTED,11,20,Barpeta,6,Assam,1,2017,1,2017,,0,1,,,Judgement,25,2017,Convicted,Spl. P.O.C.S.O,Special (POCSO) Case
ASSV010008362018,District and Sessions Judge Establishment,2018-07-23,2018-08-20,2018-08-20,2018-08-20,2018-07-23,2018-07-23,2.0,"Addl. Dist. and Sessions Judge(FTC), Special Judge  cum Addl. member MACT, Sivasagar",Disposed of,30,3,Sivasagar,6,Assam,593,2018,22,2018,109,2018,2,GAURISAGAR,,SR/Objection,64,2018,Disposed,Special Case POCSO,Special (POCSO) Case
ASBR010007052018,District and Sessions Judge,2018-06-02,2019-03-15,2019-03-15,2019-03-15,2018-05-18,2018-05-18,15.0,Addl. District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,9917,2018,17,2018,16,2018,1,ALOPATICHAR,2019-03-15,Further Evidence,128,2018,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASBR010008812019,District and Sessions Judge,2019-05-17,2019-12-11,2019-12-11,2019-12-11,2019-05-17,2019-05-17,1.0,District and Sessions Judge,Acquitted on benefit of dought,76,20,Barpeta,6,Assam,99977,2019,77,2019,153,2019,1,SARTHEBARI,,Judgement,25,2019,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASBR010001942019,District and Sessions Judge,2019-03-11,2019-11-06,2019-11-06,2019-11-06,2019-02-05,2019-02-05,1.0,District and Sessions Judge,Acquitted on benefit of dought,76,20,Barpeta,6,Assam,99922,2019,22,2019,147,2018,1,SORBHOG,,Evidence,76,2019,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASSN070003312019,Addl District and Sessions Judge,2019-08-21,2019-08-21,2019-08-21,2019-08-21,2019-08-21,2019-08-21,2.0,"Addl. Sessions Judge,( FTC)",Filed,21,6,Sonitpur,6,Assam,243,2019,39,2019,,0,2,,,Production of Accused,58,2019,Case is filed,Spl. POCSO,Special (POCSO) Case
ASBR010018052018,District and Sessions Judge,2018-12-14,2020-02-04,2020-02-04,2020-02-04,2018-11-26,2018-11-26,15.0,Addl. District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,9999,2018,99,2018,937,2017,1,BARPETA,2020-04-02,Further Evidence,128,2018,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASSV010003212017,District and Sessions Judge Establishment,2017-06-19,2017-06-19,2017-06-19,2017-06-19,2017-02-06,2017-02-06,1.0,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",Disposed of,30,3,Sivasagar,6,Assam,6,2017,6,2017,,0,1,,,Appearance,22,2017,Disposed,Special Case POCSO,Special (POCSO) Case
ASBR010012342019,District and Sessions Judge,2019-07-04,2019-07-04,2019-07-04,2019-07-04,2019-07-04,2019-07-04,15.0,Addl. District and Sessions Judge,TRANSFERED,1,20,Barpeta,6,Assam,99113,2019,113,2019,332,2019,2,BARPETA ROAD,,Appereance,22,2019,Transferred,Spl. POCSO Act.,Special (POCSO) Case
ASBR010009942018,District and Sessions Judge,2018-08-10,2019-07-23,2019-07-23,2019-07-23,2018-07-05,2018-07-05,15.0,Addl. District and Sessions Judge,CONVICTED,11,20,Barpeta,6,Assam,9920,2018,20,2018,900,2018,1,BARPETA,2019-07-23,Judgement,25,2018,Convicted,Spl. POCSO Act.,Special (POCSO) Case
ASSV010008872017,District and Sessions Judge Establishment,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-07-25,2017-07-25,1.0,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",ACQUITTED,10,3,Sivasagar,6,Assam,617,2017,38,2017,56,2017,1,SIMALUGURI,,Evidence,76,2017,Acquitted,Special Case POCSO,Special (POCSO) Case
ASBR010008592017,District and Sessions Judge,2017-07-15,2017-08-22,2017-08-22,2017-08-22,2017-04-07,2017-04-07,1.0,District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,9928,2017,28,2017,160,2017,1,BARPETA,,Evidence,76,2017,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASBR010005812019,District and Sessions Judge,2019-05-07,2020-02-18,2020-02-18,2020-02-18,2019-04-03,2019-04-03,1.0,District and Sessions Judge,Acquitted on benefit of dought,76,20,Barpeta,6,Assam,99964,2019,64,2019,47,2018,1,TARABARI,,Judgement,25,2019,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASSV090001562017,Addl Dist and Sessions Judge,2018-08-09,2019-03-27,2019-03-27,2019-03-27,2017-11-21,2017-11-21,1.0,Addl Dist. and Sessions Judge,ACQUITTED,10,3,Sivasagar,6,Assam,57,2017,57,2017,55,2016,1,SONARI,,Judgement,25,2017,Acquitted,Special Case POCSO,Special (POCSO) Case
ASSV010015042017,District and Sessions Judge Establishment,2018-05-04,2018-05-04,2018-05-04,2018-05-04,2017-12-22,2017-12-22,1.0,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",TRANSFER,1,3,Sivasagar,6,Assam,1078,2017,72,2017,49,2017,2,MATHURAPUR,,Order,49,2017,Transferred,Special Case POCSO,Special (POCSO) Case
ASBR010008562017,District and Sessions Judge,2017-07-13,2018-03-07,2018-03-07,2018-03-07,2017-04-06,2017-04-06,1.0,District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,9927,2017,27,2017,269,2015,1,SARTHEBARI,,Evidence,76,2017,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASSV010006662017,District and Sessions Judge Establishment,2017-07-03,2018-05-14,2018-05-14,2018-05-14,2017-06-19,2017-06-19,1.0,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",CONVICTED,11,3,Sivasagar,6,Assam,480,2017,28,2017,135,2017,1,DEMOW,2018-05-14,Judgement,25,2017,Convicted,Special Case POCSO,Special (POCSO) Case
ASBR010011752018,District and Sessions Judge,2018-08-29,2019-02-27,2019-02-27,2019-02-27,2018-08-08,2018-08-08,15.0,Addl. District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,9934,2018,34,2018,288,2018,1,BARPETA ROAD,2019-02-27,Evidence,76,2018,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASBR010003422019,District and Sessions Judge,2019-03-26,2020-03-05,2020-03-05,2020-03-05,2019-02-26,2019-02-26,1.0,District and Sessions Judge,Acquitted on benefit of dought,76,20,Barpeta,6,Assam,99934,2019,34,2019,50,2018,1,BARPETA ROAD,,Judgement,25,2019,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASBR010010942019,District and Sessions Judge,2019-06-18,2020-03-20,2020-03-20,2020-03-20,2019-06-17,2019-06-17,15.0,Addl. District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,99,2019,99,2019,352,2019,1,KALGACHIA,,Judgement,25,2019,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASBR010009782017,District and Sessions Judge,2017-08-29,2018-06-19,2018-06-19,2018-06-19,2017-07-25,2017-07-25,1.0,District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,9944,2017,44,2017,77,2017,1,SORBHOG,2018-06-19,Appereance,22,2017,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASSV010006532018,District and Sessions Judge Establishment,2018-07-07,2018-07-27,2018-07-27,2018-07-27,2018-07-07,2018-07-07,1.0,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",TRANSFER,1,3,Sivasagar,6,Assam,432,2018,18,2018,80,2018,1,SONARI,,Consideration of Charge(C.C),92,2018,Transferred,Special Case POCSO,Special (POCSO) Case
ASBR010008772017,District and Sessions Judge,2017-07-19,2018-05-02,2018-05-02,2018-05-02,2017-05-15,2017-05-15,1.0,District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,9912,2017,12,2017,1699,2016,1,BARPETA,2018-02-05,Statement/Defense/Argument,120,2017,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASSV010001302018,District and Sessions Judge Establishment,2018-02-02,2018-05-25,2018-05-25,2018-05-25,2018-02-02,2018-02-02,1.0,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",stay,49,3,Sivasagar,6,Assam,93,2018,4,2018,16,2018,1,SIMALUGURI,,Appearance,22,2018,Stayed,Special Case POCSO,Special (POCSO) Case
ASBR010013232018,District and Sessions Judge,2018-10-06,2019-07-20,2019-07-20,2019-07-20,2018-09-04,2018-09-04,15.0,Addl. District and Sessions Judge,ACQUITTED,10,20,Barpeta,6,Assam,99945,2018,45,2018,160,2017,1,KALGACHIA,,Evidence,76,2018,Acquitted,Spl. POCSO Act.,Special (POCSO) Case
ASSN010013922018,District and Sessions Judge Sonitpur Tezpur,2018-09-05,2019-08-17,2019-08-17,2019-08-17,2018-09-05,2018-09-05,1.0,District and Sessions Judge,ACQUITTED,10,6,Sonitpur,6,Assam,960,2018,79,2018,1825,2018,1,TEZPUR,2019-08-17,Judgement,25,2018,Acquitted,POCSO Act,POCSO Act
ASSN010008382017,District and Sessions Judge Sonitpur Tezpur,2017-08-03,2018-03-23,2018-03-23,2018-03-23,2017-08-03,2017-08-03,1.0,District and Sessions Judge,ACQUITTED,10,6,Sonitpur,6,Assam,947,2017,36,2017,,0,1,,,Evidence,76,2017,Acquitted,POCSO Act,POCSO Act
ASNG010020992017,District and Sessions Judge,2017-09-21,2017-09-21,2017-09-21,2017-09-21,2017-09-21,2017-09-21,1.0,District & Sessions Judge,Transfer to Outside Complex,36,10,Nagaon,6,Assam,1661,2017,65,2017,130,2017,1,KAKI,,Appearence,22,2017,Transferred,Cases Under POCSO Act,POCSO Act
ASSN010004792017,District and Sessions Judge Sonitpur Tezpur,2017-06-12,2019-11-29,2019-11-29,2019-11-29,2017-06-05,2017-06-05,3.0,"Addl. Dist. and  Sessions Judge, FTC",Filed,21,6,Sonitpur,6,Assam,698,2017,27,2017,,0,2,,,Appereance,22,2017,Case is filed,POCSO Act,POCSO Act
ASNG010005232018,District and Sessions Judge,2018-04-10,2019-08-05,2019-08-05,2019-08-05,2018-03-26,2018-03-26,2.0,Addl. District & Sessions Judge,ACQUITTED,10,10,Nagaon,6,Assam,388,2018,19,2018,59,2016,1,SAMAGURI,2019-05-08,Evidence,76,2018,Acquitted,Cases Under POCSO Act,POCSO Act
