case_id,statute_opennyai,provision_opennyai,statute_metadata,provision_metadata
ASDU100003992019,Code Of Criminal Procedure,['313'],POCSO Act,['8']
ASDU100003992019,Indian Penal Code,['376 (2)(3)'],,
ASDU100003992019,POCSO Act,"['6', '8']",,
ASDU010013662018,Code Of Criminal Procedure,"['.164', '.313']",Indian Penal Code,['447']
ASDU010013662018,Indian Penal Code,"['.447', '.447', '.447 .447/341']",POCSO Act,['4']
ASDU010013662018,POCSO Act,"['.4', '.447 ec.4', '.447 |I.B.C R', 'ec.4']",,
ASDU010013662018,"POCSO Act, 2012",['.4'],,
ASDU100005362019,Code Of Criminal Procedure,['313'],POCSO Act,['4']
ASDU100005362019,Indian Penal Code,['120(B)/384/34'],,
ASDU100005362019,POCSO Act,['4'],,
ASDU100000562015,Code Of Criminal Procedure,"['154', '164', '313', '357 A', '357-A (Il Aks 61', '365', '428']",POCSO Act,['4']
ASDU100000562015,Indian Penal Code,"['360', '375', '376']",,
ASDU100000562015,POCSO Act,"['29', '3', '4', '5', '7', '9']",,
ASDU100000192019,Code Of Criminal Procedure,"['164', '313', '437(A)']",POCSO Act,['4']
ASDU100000192019,POCSO Act,"['3', '4']",,
ASDU100003032018,Code Of Criminal Procedure,"['164', '313']",POCSO Act,['6']
ASDU100003032018,POCSO Act,['6'],,
ASDU010005262018,Code Of Criminal Procedure,"['161', '164', '313']",Indian Penal Code,"['342', '376']"
ASDU010005262018,Indian Penal Code,"['376/342', '342', '342/376', '376']",POCSO Act,['4']
ASDU010005262018,POCSO Act,['4'],,
ASDU010005262018,Poco Act,['4'],,
ASDU010019002018,Code Of Criminal Procedure,['.313'],POCSO Act,['4']
ASDU010019002018,Indian Penal Code,"['.120(B)', '.120(B) I)/420/34', '.120(B) .120(B)/447/376(1', '.120(B) .120(B)/447/376(1)\n(I)/420/34', '.376(2)(I)\nI.P.C.', '.376(2)(I)\n|.P.C And', '.376(2)(I) I1.B.C And', '.376(2)(I)']",,
ASDU010019002018,POCSO Act,"['4', '.4', 'ec.4']",,
ASDU010014692018,Code Of Criminal Procedure,"['313', '437A']",Indian Penal Code,"['363', '376AB']"
ASDU010014692018,Indian Penal Code,['363'],POCSO Act,['6']
ASDU010014692018,POCSO Act,"['363/376(Ab', '363/376(Ab)', '363/376(Ab) R', '376(Ab)', '6', '8', '8']",,
ASDU100003352018,Code Of Criminal Procedure,"['164', '313', '437(A)']",POCSO Act,['8']
ASDU100003352018,Indian Penal Code,"['120(B)/451 Ipc R', '120(B)/451', '447/354(A', '447/354(A)', '451/354(A', '451/354(A)', '447/354(A', '447/354(A)']",,
ASDU100003352018,POCSO Act,"['447/354(A', '447/354(A)', '8', '7', '8']",,
ASDU010003142019,Code Of Criminal Procedure,"['437A', '.313']",Indian Penal Code,"['376(3)', '323']"
ASDU010003142019,Indian Penal Code,"['.\n\n376(3)', '.376(3)', '.376(3)', '.376(3) .376(3)/323 I.P.C R', '.420', '.420 .420/376(3)/307']",POCSO Act,['4']
ASDU010003142019,POCSO Act,"['.4', 'ec. 4', 'ec.4']",,
ASDU010000462019,Code Of Criminal Procedure,"['313', '437A']",Indian Penal Code,"['354B', '294', '507']"
ASDU010000462019,Indian Penal Code,"['294', '294/507', '354(A)/354(D)/', '354(B)/294/507 And', '354(B)/294/507', '. 294']",POCSO Act,['12']
ASDU010000462019,POCSO Act,"['12', 'ec.12']",,
ASDU010003172016,Code Of Criminal Procedure,"['164', '313', '437-A']",POCSO Act,['4']
ASDU010003172016,Indian Penal Code,"['161', '366- A/376', '366-A', '366-A/376', '366-A/376/34', '376', 'A/376', 'A/376/34']",Indian Penal Code,"['366A', '376']"
ASDU010003172016,POCSO Act,['4'],,
ASDU100000842016,Code Of Criminal Procedure,"['164', '313', '437(A)']",POCSO Act,['10']
ASDU100000842016,POCSO Act,"['10', '9']",,
ASDU100000842016,"S 2 Of Mental Health Act, 1987",['Clause (I)'],,
ASDU010000832018,Code Of Criminal Procedure,"['161', '164', '313', '437-A']",Indian Penal Code,"['366', '376D']"
ASDU010000832018,Indian Penal Code,"['366(A)/376 (A)/120(B)/201/506', '366(A)/376', '366/376', '366/376(D', '366/376(D)', '366A/376 G/120', '366A/376', 'A)/120(B)/201/506', 'B/201/506', 'G/120-B/201/506', '365-D', '366-A', '376', '376-D', '376-D/366-', 'D/366- A']",POCSO Act,['6']
ASDU010000832018,POCSO Act,"['4', '6', 'ectiom 6']",,
ASDU010000172017,2 (D) Of POCSO Act,[''],POCSO Act,['4']
ASDU010000172017,Code Of Criminal Procedure,"['161', '164', '313', '437-A']",Indian Penal Code,['376']
ASDU010000172017,Indian Penal Code,"['3/76', '375', '376', ': 376']",,
ASDU010000172017,POCSO Act,"['2 (D)', '4']",,
ASDU010005952015,Code Of Criminal Procedure,"['164', '313', '. 164']",POCSO Act,['366A342208']
ASDU010005952015,Indian Penal Code,"['366(A)', '366(A)/342 Ipc And', '366(A)/342']",,
ASDU010005952015,Of Indian Penal Code,['366(A)/342'],,
ASDU010005952015,POCSO Act,['8'],,
ASDU010005952015,"POCSO Act, 2012",['8'],,
ASDU100002092019,Code Of Criminal Procedure,['313'],POCSO Act,['12']
ASDU100002092019,POCSO Act,['12'],,
ASDU010000122018,Code Of Criminal Procedure,"['161', '164', '222 (2)', '313', '357-A', '53-A']",Indian Penal Code,"['448', '376']"
ASDU010000122018,Indian Penal Code,"['448/376', '375', '376', '442', '448', '448/342/376', '448/376']",POCSO Act,['4']
ASDU010000122018,POCSO Act,"['3', '4', '7', '8']",,
ASDU010005232018,Code Of Criminal Procedure,"['161', '164', '222 (2)', '313', '357-A']",Indian Penal Code,"['448', '376']"
ASDU010005232018,Indian Penal Code,"['375', '376', '442', '448', '448/376']",POCSO Act,['6']
ASDU010005232018,POCSO Act,"['42. 30', '42. 42.s 29', '10 \x0c10', '10', '2 (D)', '29', '3', '30', '5', '6', '7', '9 (M)', '9']",,
ASDU010003072016,Code Of Criminal Procedure,"['161', '164', '313']",POCSO Act,['8']
ASDU010003072016,Indian Penal Code,"['34', '341', '341,376(2', '341,376(2) (I)', '376 (2) (I)', '376 (2) (I)/511', '376(2) (I)', '506', '511', 'I)/511']",,
ASDU010003072016,POCSO Act,['8'],,
ASDU010003072016,"POCSO Act, 2012",['8'],,
ASDU010002332015,Code Of Criminal Procedure,"['.164', '.313', '.357 (A)', 'ec. 154']",POCSO Act,['8']
ASDU010002332015,Evidence Act,['ec. 11'],,
ASDU010002332015,POCSO Act,"['7', '8', '. 8', '.7', '.8']",,
ASDU010015342018,Code Of Criminal Procedure,['.313'],Indian Penal Code,"['448', '376']"
ASDU010015342018,Indian Penal Code,"['.448', '.448 .448/376']",POCSO Act,['4']
ASDU010015342018,POCSO Act,"['.448', '.448 .448/376', 'ec.4']",,
ASDU010015342018,Protection Of Children From Sexual Offence,['ec.4'],,
ASDU100005602019,Code Of Criminal Procedure,"['164', '313']",POCSO Act,['4']
ASDU100005602019,Indian Penal Code,['376'],,
ASDU100005602019,POCSO Act,['4'],,
ASDU100001252019,Code Of Criminal Procedure,['313'],POCSO Act,['6']
ASDU100001252019,Indian Penal Code,"['366/376', '109', '376']",,
ASDU100001252019,POCSO Act,['6'],,
ASDU010003522019,Code Of Criminal Procedure,"['313', '437A']",Indian Penal Code,"['120B', '447', '376(3)']"
ASDU010003522019,Indian Penal Code,"['120(B)', '120(B)/376(3)/34 I.P.C And', '120(B)/376(3)/34', '120(B)/447/376(3', '120(B)/447/376(3)', '120(B)/448 I.P.C Read', '120(B)/448', '376(3)/34', '.\n\n120(B)', '.\n\n120(B) 120(B)/376(3)/34', '. 120(B)/376(3)/34 I.P.C.', '. 120(B)/376(3)/34', 'ec.120(B)', 'ec.120(B) ec.120(B)/376(3)/34 I.P.C.', 'ec.120(B) ec.120(B)/376(3)/34', 'ec.376(3)']",POCSO Act,['4']
ASDU010003522019,POCSO Act,['4'],,
